altitude_km,inclination_deg,planes,sats_per_plane,total_satellites,mean_availability,worst_availability,mean_visible,orbital_period_min,meets_availability,score
1100.0,42.0,16,16,256,1.0,1.0,7.193370165745857,107.26297937304625,True,148.58696132596685
1100.0,53.0,16,16,256,1.0,1.0,5.955801104972376,107.26297937304625,True,138.686408839779
1100.0,42.0,12,16,192,1.0,1.0,5.408839779005525,107.26297937304625,True,136.5507182320442
1100.0,42.0,16,12,192,1.0,1.0,5.370165745856354,107.26297937304625,True,136.24132596685084
888.0,42.0,16,16,256,1.0,1.0,5.425414364640884,102.73421414352164,True,134.44331491712705
1100.0,53.0,16,12,192,1.0,1.0,4.49171270718232,107.26297937304625,True,129.21370165745856
1100.0,53.0,12,16,192,1.0,1.0,4.4659300184162065,107.26297937304625,True,129.00744014732965
1100.0,42.0,12,12,144,1.0,1.0,4.042357274401474,107.26297937304625,True,127.29885819521179
888.0,42.0,12,16,192,1.0,1.0,4.040515653775323,102.73421414352164,True,125.60412523020258
888.0,42.0,16,12,192,1.0,1.0,4.023941068139963,102.73421414352164,True,125.4715285451197
888.0,53.0,16,16,256,1.0,1.0,4.274401473296501,102.73421414352164,True,125.23521178637199
700.0,42.0,16,16,256,1.0,1.0,3.9594843462246785,98.77298451890734,True,122.71587476979741
1100.0,53.0,12,12,144,1.0,1.0,3.3462246777163904,107.26297937304625,True,121.72979742173112
888.0,42.0,12,12,144,1.0,1.0,3.0552486187845305,102.73421414352164,True,119.40198895027623
888.0,53.0,12,16,192,1.0,1.0,3.197053406998158,102.73421414352164,True,118.85642725598527
888.0,53.0,16,12,192,1.0,1.0,3.1694290976058936,102.73421414352164,True,118.63543278084715
700.0,42.0,12,16,192,1.0,1.0,2.9558011049723762,98.77298451890734,True,116.92640883977901
700.0,42.0,16,12,192,1.0,1.0,2.935543278084715,98.77298451890734,True,116.76434622467772
700.0,53.0,16,16,256,1.0,1.0,2.9631675874769794,98.77298451890734,True,114.74534069981584
888.0,53.0,12,12,144,1.0,1.0,2.4051565377532227,102.73421414352164,True,114.20125230202578
700.0,42.0,12,12,144,0.994475138121547,0.9834254143646409,2.2209944751381214,98.77298451890734,True,111.07049723756906
700.0,53.0,16,12,192,0.9963167587476981,0.988950276243094,2.2394106813996317,98.77298451890734,True,110.09031307550644
700.0,53.0,12,16,192,0.994475138121547,0.9834254143646409,2.173112338858195,98.77298451890734,True,109.00744014732965
700.0,53.0,12,12,144,0.9760589318600368,0.9558011049723757,1.6611418047882136,98.77298451890734,True,103.82924493554327
